id,bibtex,research work,data driven,shared data model,data coupling,local data chunks,local first,wireless first,autonomous entities,asynchronous entities,message protocol
A02,Bayerl2020,Bayerl et al.,full,partial,no,no,partial,no,no,no,no
A04,Sarabia2020,Sarabia-Jácome et al.,full,partial,no,partial,partial,no,partial,no,partial
A05,Xu2018,Xu et al.,full,full,no,full,partial,full,full,no,partial
A06,Hegemier2021,Hegemier et al.,full,no,no,partial,partial,no,partial,no,partial
A08,Shi2019,Shi et al.,full,no,no,partial,partial,no,no,full,no
A13,Quintero2019,Quintero et al.,full,no,no,no,partial,no,partial,no,partial
A14,Johny2021,Johny et al.,full,no,no,no,partial,no,partial,no,partial
A17,Sultana2021,Sultana et al.,full,full,full,no,partial,no,full,full,full
A18,Alonso2020,Alonso et al.,full,partial,no,partial,partial,no,full,no,full
A22,Salhaoui2020,Salhaoui et al.,full,no,no,partial,partial,no,partial,no,partial
A23,bellocchio2016smartseal,Bellocchio et al.,full,full,no,partial,no,no,partial,full,full
A24,schubert2021onorbit,Schubert et al.,full,full,full,no,no,no,no,full,full
A28,Junchen2017,Junchen et al.,full,full,full,partial,full,full,full,full,full
A30,alves2020industry,Alves et al.,full,full,full,no,no,no,full,full,full
A34,cabanes2019autonomous,Cabanes et al.,full,full,full,no,no,no,no,no,no
A40,zhang202148learningadd,Zhang et al.,full,full,no,full,full,full,full,no,no
A42,schumann2012software,Schumann et al.,full,full,full,no,no,no,full,full,full
A47,habibi2019itelescope,Habibi et al.,full,full,partial,no,no,no,no,full,partial
A49,falcao2021piwims,Falcao et al.,full,full,no,no,no,no,no,no,no
A51,qiu2020phm,Qiu et al.,full,no,no,no,no,no,partial,no,no
A52,gao2016icn,Gao et al.,full,full,partial,no,no,no,no,no,no
A56,Muller2019,Muller et al.,full,full,partial,no,no,no,no,no,no
A57,shih2020warning,Shih et al.,full,full,partial,no,no,no,partial,partial,partial
A63,franklin2014lida,Franklin et al.,full,no,no,no,no,no,full,full,full
A66,shan2022poligraph,Shan et al.,full,full,no,full,full,full,no,no,no
A71,zhang2016emotion,Zhang et al.,full,full,full,full,full,full,full,full,full
A72,barachi2020crowdsensing,Barachi et al. ,full,no,no,no,no,no,partial,no,no
A74,calancea2019iassistme,Calancea et al.,full,no,no,no,partial,no,partial,partial,partial
A76,herrero2022i40,"Herrero et al., RAI4.0 Lopez et al.",full,full,full,full,full,full,full,full,full
A80,kemsaram2020vision,Kemsaram et al.,full,full,no,no,partial,no,no,no,no
A81,amrollahi2020aidex,Amrollahi et al.,full,partial,partial,no,no,no,no,no,no
A83,gorkin2020sharkey,Gorkin et al.,full,no,no,no,no,no,partial,partial,partial
A84,nguyen2021finger,Nguyen et al.,full,full,full,no,no,no,partial,full,full
A85,santana2020smartbuildings,Santana et al.,full,full,no,partial,partial,no,partial,no,full
A88,brumbaugh2019bighead,Brumbaugh et al.,full,partial,partial,no,partial,no,no,no,no
A89,niu2017adls,Niu et al.,full,no,no,no,no,no,partial,no,no
A90,hawes2017strands,Hawes et al.,full,full,no,no,no,no,no,no,no
A91,conroy2022infection,Conroy et al.,full,full,full,no,no,no,partial,no,no
A92,karageorgou2020sentiment,Karageorgou et al.,full,partial,full,full,full,full,full,full,full
A94,lu2020digitaltwin,Lu et al.,full,full,no,no,no,no,partial,no,partial
A101,gallagher2019intellimav,Gallagher et al.,full,full,partial,no,no,no,partial,no,no
A104,agarwal2016making,Agarwal et al.,full,full,full,no,no,no,no,no,no
A105,dai2019bigdl,Dai et al.,full,full,full,full,full,full,no,no,no
A110,lebofsky2019breakthrough,Lebofsky et al.,full,full,full,full,full,full,full,full,full
A111,ali2016idviewer,Ali et al.,full,no,no,no,no,no,partial,no,no
